race_number,category,place,racer_name,plate_number,points,finish_time,venue,race_date,avg_speed
8,EXPERT B,9,Thomas Hansen,404,36,0:50:42,Wolf Creek Ranch,2025-06-18,8.8
8,EXPERT B,10,Ben Marsden,423,33,0:52:31,Wolf Creek Ranch,2025-06-18,8.5
8,EXPERT B,11,Beckam Zobrist,417,30,0:57:21,Wolf Creek Ranch,2025-06-18,7.8
8,EXPERT B,12,Archer Olson,411,27,0:57:21,Wolf Creek Ranch,2025-06-18,7.8
8,EXPERT B,DNF,Kolby Bernards,402,1,,Wolf Creek Ranch,2025-06-18,
8,EXPERT C,1,Shane Jenson,522,80,0:47:30,Wolf Creek Ranch,2025-06-18,9.4
8,EXPERT C,2,Levi Blumer,540,73,0:48:16,Wolf Creek Ranch,2025-06-18,9.3
8,EXPERT C,3,Ian Beaty,500,66,0:49:02,Wolf Creek Ranch,2025-06-18,9.2
8,EXPERT C,4,Jerry Brown,503,59,0:49:42,Wolf Creek Ranch,2025-06-18,9
8,EXPERT C,5,Cole Gonsalves,512,54,0:50:10,Wolf Creek Ranch,2025-06-18,8.9
8,EXPERT C,6,Matt Stewart,519,49,0:52:17,Wolf Creek Ranch,2025-06-18,8.6
8,EXPERT C,7,Brian Blumer,528,44,0:52:22,Wolf Creek Ranch,2025-06-18,8.6
8,EXPERT C,8,John Taylor,537,39,0:52:45,Wolf Creek Ranch,2025-06-18,8.5
8,EXPERT C,9,Kerry Smith,518,36,0:53:32,Wolf Creek Ranch,2025-06-18,8.4
